area,count,endTime,latitude,location,longitude,provider,siteID,startTime,usmart_id
Stirling,38,2023-05-17T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-05-16T00:00:00,"19d705f2e08f6805262e94ed5c172121"
Stirling,31,2023-05-25T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-05-24T00:00:00,"4e34bc09e0d9c5b194f13c5cf5f7c6a8"
Stirling,53,2023-05-31T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-05-30T00:00:00,"3093f074cfd45d15f21c392eae5a8398"
Falkirk,103,2023-06-04T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-06-03T00:00:00,"b1b9a4ea410e62d0a3a58367cf6d0873"
Falkirk,53,2023-06-09T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-06-08T00:00:00,"d2b1c69f9d91b9db87a2cad44d7efa84"
Falkirk,69,2023-06-15T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-06-14T00:00:00,"f0096548593b53bbedb36cd885ba4fb0"
Falkirk,83,2023-06-16T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-06-15T00:00:00,"3cec5c325439dd77cd21782e40796f3b"
Falkirk,76,2023-06-17T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-06-16T00:00:00,"08a0da9b1ead05fd0d63b66eeeb80a4e"
Falkirk,48,2023-06-22T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-06-21T00:00:00,"7379d1a4be2e88f91ba334ba0658c5f2"
Falkirk,40,2023-06-24T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-06-23T00:00:00,"8213caf9d9435ee6b77e2fdfd462284f"
Falkirk,32,2023-06-27T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-06-26T00:00:00,"059a8359ad21113116c9515787225fa2"
Falkirk,53,2023-06-02T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-06-01T00:00:00,"4fd814b8998a08d3b733003ae5cceb18"
Falkirk,76,2023-06-08T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-06-07T00:00:00,"45114d7a7fb02d24d4e8d3fa5db5dbd6"
Falkirk,76,2023-06-16T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-06-15T00:00:00,"bb22893693d7637802457329c6f73298"
Falkirk,28,2023-06-20T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-06-19T00:00:00,"6f05ed87302551456af3c65accd8374d"
Falkirk,88,2023-06-22T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-06-21T00:00:00,"ae81f268e44e10060004fefe5169ecca"
North Lanarkshire,145,2023-06-03T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-06-02T00:00:00,"b358d84e5c41e38d156cdc83fc8a0d16"
North Lanarkshire,98,2023-06-06T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-06-05T00:00:00,"1354c4c839295665a24b36aadc8ab53d"
North Lanarkshire,303,2023-06-11T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-06-10T00:00:00,"19126262cc8e4412be31e6b33da2b479"
North Lanarkshire,121,2023-06-13T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-06-12T00:00:00,"e3093fd27023d9f2807a0aac1d2db832"
North Lanarkshire,91,2023-06-22T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-06-21T00:00:00,"5b0c8f407cbfce71be4c63335719eb08"
North Lanarkshire,197,2023-06-23T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-06-22T00:00:00,"da7b410bbf7db088bf54abc7e07a04e4"
Stirling,37,2023-06-10T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-06-09T00:00:00,"cab002f376a9d24dd295597a448ec564"
Stirling,28,2023-06-12T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-06-11T00:00:00,"73356037e654035d88a9fdf400f87397"
Stirling,22,2023-06-14T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-06-13T00:00:00,"d3df41db7af9b84e27c78381e3751074"
Stirling,26,2023-06-17T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-06-16T00:00:00,"86625cf24f206f8d2795649b04481abf"
Stirling,24,2023-06-26T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-06-25T00:00:00,"03eaa632abfac3d74dc7a32fcf94f2a3"
Stirling,11,2023-06-27T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-06-26T00:00:00,"f92b68b6c9f2d03a9765ca548c5572c2"
Stirling,16,2023-06-30T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-06-29T00:00:00,"326b7f997bf5dcf2f9bf8b5cd252e728"
Stirling,83,2023-06-11T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-06-10T00:00:00,"f0d4c3d80ff5efdcb992b4f2c7b3d5fd"
